Cena (USD->EUR kurss uz 2024-10-10);Saite;Kategorija;Marka un modelis;Gads;Valsts;Motorstundas (h);Jauda (zs);Piedziņa/Vilce
498898.25;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/hghr8ngs.html;combine_harvesters;John Deere S790;United States;2022;430.0;;
576637.36;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/5n9s7jhp.html;combine_harvesters;John Deere S790;United States;2023;391.0;;
26985.12;https://www.mascus.com/agriculture/combine-harvesters/case-ih-2366/9qajbrgu.html;combine_harvesters;Case IH 2366;United States;1998;3885.0;;
82236.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-670/at5s6q9h.html;combine_harvesters;John Deere S670;United States;2014;3304.0;;
137212.5;https://www.mascus.com/agriculture/combine-harvesters/other-versa-id1012/dm3ifl6s.html;combine_harvesters;Versa ID1012;United States;1998;;;
457283.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/8g8k9iam.html;combine_harvesters;John Deere S780;United States;2023;445.0;;2 WD
475578.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/fnepel3s.html;combine_harvesters;John Deere S780;United States;2023;265.0;;
466431.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/4jcq8i7r.html;combine_harvesters;John Deere S780;United States;2023;553.0;;2 WD
81870.12;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-670/8shhaj9g.html;combine_harvesters;John Deere S670;United States;2013;1459.0;;
447925.63;https://www.mascus.com/agriculture/combine-harvesters/case-ih-8250/5riudtdj.html;combine_harvesters;Case IH 8250;United States;2023;192.0;;
173711.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-770/eqif8lhl.html;combine_harvesters;John Deere S770;United States;2018;1819.0;;2 WD
539611.03;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/hkfifsih.html;combine_harvesters;John Deere S790;United States;2023;379.0;;
301867.5;https://www.mascus.com/agriculture/combine-harvesters/john-deere-770/dn4p8sgf.html;combine_harvesters;John Deere S770;United States;2021;657.0;;
107483.12;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-690/ioftghfg.html;combine_harvesters;John Deere S690;United States;2015;1859.0;;2 WD
473749.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9100/hgdp3jbq.html;combine_harvesters;John Deere X9 1000;United States;2022;927.0;;2 WD
82236.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-680/3odp4qbr.html;combine_harvesters;John Deere S680;United States;2014;3323.0;;2 WD
557906.03;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/5j9u7k3o.html;combine_harvesters;John Deere S780;United States;2023;425.0;;
45280.12;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9860-sts/gpffgr7t.html;combine_harvesters;John Deere 9860 STS;United States;2007;2813.0;;
73088.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-680/hkbpikdm.html;combine_harvesters;John Deere S680;United States;2013;3851.0;;2 WD
41163.75;https://www.mascus.com/agriculture/combine-harvesters/macdon-d-65-d/8ifndj9h.html;combine_harvesters;MacDon D65-D;United States;2015;;;
82236.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-670/4l8hhn4o.html;combine_harvesters;John Deere S670;United States;2012;3105.0;;
54427.62;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9660/cp3t9s3u.html;combine_harvesters;John Deere 9660;United States;2004;2682.0;;
146268.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-680/9l3sbq8l.html;combine_harvesters;John Deere S680;United States;2017;2166.0;;
320071.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/8hhkbgfn.html;combine_harvesters;John Deere S790;United States;2021;1386.0;;
69429.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-670/iu5i6ret.html;combine_harvesters;John Deere S670;United States;2013;3647.0;;2 WD
438988.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/dn5m9kdt.html;combine_harvesters;John Deere S790;United States;2022;731.0;;2 WD
2652.77;https://www.mascus.com/agriculture/combine-harvesters/massey-ferguson-10/4khl8k3o.html;combine_harvesters;Massey Ferguson 510;United States;;;;
665823.66;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/4kekcn5o.html;combine_harvesters;John Deere S790;United States;2023;347.0;;
38876.88;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9660-sts/8k7tak7k.html;combine_harvesters;John Deere 9660 STS;United States;2004;3994.0;340.0;2 WD
73088.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-670/3g3j9nht.html;combine_harvesters;John Deere S670;United States;2013;3060.0;;2 WD
18203.52;https://www.mascus.com/agriculture/combine-harvesters/case-ih-2166/al3gim5t.html;combine_harvesters;Case IH 2166;United States;1997;5478.0;215.0;2 WD
448136.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/4mgq3l9k.html;combine_harvesters;John Deere S790;United States;2022;823.0;;
6860.62;https://www.mascus.com/agriculture/combine-harvesters/case-ih-2155/hjho5oik.html;combine_harvesters;Case IH 2155;United States;1995;6839.0;266.0;2 WD
72722.62;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-680/dudq4mah.html;combine_harvesters;John Deere S680;United States;2013;2660.0;;
